Model,Qun,Price,Total,Date,Brand,Color1,Color2,Color3
Redmi Note 8 64G (2021),1,"39,000,000","39,000,000",1400-04-13,Xiaomi,,,
Redmi Note 8 pro 128G,3,"51,900,000","155,700,000",1400-04-14,Xiaomi,,,
Redmi Note 9 64G,3,"33,600,000","100,800,000",1400-04-15,Xiaomi,,,
Redmi 9T R4 128G,1,"39,700,000","39,700,000",1400-04-16,Xiaomi,,,
Redmi Note 10 R4 128G,1,"48,100,000","48,100,000",1400-04-17,Xiaomi,,,
Redmi Note 10 R6 128G,4,"51,900,000","207,600,000",1400-04-18,Xiaomi,,,
Redmi Note 10 5G R4 128G,3,"52,990,000","158,970,000",1400-04-19,Xiaomi,,,
Redmi Note 10s R6 64G,1,"53,900,000","53,900,000",1400-04-20,Xiaomi,,,
Pocophone M3 64G,3,"38,200,000","114,600,000",1400-04-21,Xiaomi,,,
Pocophone M3 Pro 5G 128G,1,"56,200,000","56,200,000",1400-04-22,Xiaomi,,,
Pocophone x3 R6 128G,1,"57,900,000","57,900,000",1400-04-23,Xiaomi,,,
Pocophone x3 R8 128G,2,"64,900,000","129,800,000",1400-04-24,Xiaomi,,,
Pocophone x3 64G NFC,1,"49,900,000","49,900,000",1400-04-25,Xiaomi,,,
Pocophone X3 pro R6 128G,1,"56,700,000","56,700,000",1400-04-26,Xiaomi,,,
Mi 10T 5G R6 128G,1,"83,900,000","83,900,000",1400-04-27,Xiaomi,,,
,27,,"1,352,770,000",,,,,
